rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
6162/	1889.0	1933.0	6836.0	2671.0	1054.0	6593.0	11104.0	7874.0	2007.0	10359.0	5003.0	5420.0	4373.0	9802.0	1942.0	3480.0	3627.0	1695.0	3913.0	2307.0	8812.0	2568.0	11387.0	7767.0	1895.0	11625.0	17769.0	10330.0	9780.0	8661.0	1006.0	1520.0	732.0	6203.0
6163/	2622.0	2924.0	9927.0	2936.0	1470.0	12005.0	16007.0	12706.0	2985.0	12658.0	7708.0	7555.0	6237.0	13492.0	2251.0	4052.0	5687.0	2053.0	5568.0	1926.0	11646.0	3626.0	14730.0	11232.0	2765.0	18181.0	25169.0	13437.0	13369.0	12856.0	1609.0	1691.0	994.0	7722.0
6165/	2301.0	1878.0	9451.0	3575.0	1920.0	12417.0	19762.0	11970.0	2450.0	13226.0	7865.0	8212.0	6314.0	14072.0	2305.0	5349.0	5528.0	2808.0	5663.0	2761.0	10049.0	3557.0	15954.0	11496.0	2790.0	21903.0	24676.0	14634.0	12789.0	10103.0	1231.0	2225.0	878.0	8792.0
6167/	2252.0	2258.0	5257.0	2455.0	1374.0	9777.0	14237.0	11308.0	1846.0	12705.0	6785.0	6915.0	5093.0	12966.0	2086.0	4000.0	4691.0	3106.0	4126.0	2392.0	7694.0	2924.0	14192.0	9968.0	2189.0	15623.0	21191.0	14182.0	11068.0	11262.0	1122.0	2418.0	756.0	5703.0
6199/	2359.0	1918.0	5305.0	3413.0	1762.0	9814.0	14578.0	7578.0	2391.0	12602.0	5418.0	6450.0	4685.0	9320.0	1937.0	3716.0	4258.0	2620.0	4254.0	2592.0	8890.0	2814.0	12963.0	8826.0	2425.0	15210.0	20719.0	12606.0	10850.0	8788.0	1358.0	2003.0	1071.0	6201.0
6226/	2270.0	2842.0	5695.0	2562.0	1204.0	9373.0	14268.0	10483.0	2740.0	9942.0	7353.0	5404.0	3991.0	11531.0	1769.0	4237.0	4440.0	2682.0	3667.0	1538.0	8459.0	3046.0	13135.0	10059.0	2391.0	15381.0	20176.0	14262.0	12008.0	12220.0	814.0	2087.0	1062.0	6866.0
6227/	2460.0	2716.0	6927.0	4000.0	1546.0	11581.0	14368.0	13450.0	3002.0	11769.0	8205.0	7743.0	5355.0	14351.0	2121.0	5006.0	4663.0	2476.0	5303.0	2739.0	9888.0	4350.0	14517.0	11833.0	2979.0	18938.0	27469.0	15423.0	13144.0	13102.0	1625.0	1743.0	1155.0	7442.0
6228/	2273.0	2770.0	5797.0	3369.0	1296.0	11409.0	15200.0	13406.0	2863.0	11222.0	6301.0	8240.0	4798.0	12596.0	2410.0	4720.0	3398.0	2426.0	4210.0	2919.0	9657.0	3929.0	13479.0	9932.0	2663.0	17151.0	21429.0	12029.0	10026.0	10326.0	1015.0	2096.0	884.0	7117.0
6229/	2538.0	3073.0	9132.0	3716.0	1731.0	10852.0	17485.0	9548.0	3978.0	14295.0	8672.0	7721.0	5764.0	12041.0	2359.0	4247.0	5106.0	3080.0	4921.0	2851.0	9331.0	3455.0	17034.0	13328.0	3276.0	20597.0	27898.0	16238.0	14826.0	13281.0	1107.0	1876.0	1109.0	9267.0
6291/	1640.0	1995.0	4250.0	2326.0	1550.0	7414.0	9527.0	8007.0	1975.0	8160.0	5492.0	4847.0	4576.0	7825.0	1798.0	2591.0	4166.0	2134.0	3916.0	1680.0	7177.0	2425.0	9331.0	7785.0	1175.0	9753.0	16220.0	8993.0	8883.0	8770.0	986.0	1843.0	1023.0	5373.0
